Year,Variable, Klamath, Siletz, Umatilla, Warm Springs, Colville, Neah bay, Spokane, Tulalip, Yakima,Cushman-Taholah
1911,unallotted_indians,300,215,250,308,2037,718,NA,1367,0,2260
1911,holding_trust_patents,816,219,841,454,894,0,NA,239,2622,740
1911,holding_fee_patents|total,0,0,0,0,26,0,NA,1,0,0
1911,total_indians_allotted,816,219,841,454,920,0,0,240,2622,740
1911,total_indians_under_federal_supervision,1116,434,1091,762,2957,718,NA,1607,2622,3000
1911,holding_fee_patents|for_all_of_allotment,0,NR,126,2,26,0,NA,2,59,0
1911,total_tribal_and_individual_property,25989159.68,472145.51,3834663.87,3760236.52,20534632.83,376058.29,NA,1980878.49,21860148.01,7334540.75
1912,unallotted_indians,326,214,522,296,716,395,346,1197,698,2512
1912,holding_trust_patents,787,115,410,443,1520,332,NA,199,2263,939
1912,holding_fee_patents|for_part_of_allotment,0,10,22,0,2,0,NA,0,18,0
1912,holding_fee_patents|for_all_of_allotment,4,90,160,2,23,0,NA,1,67,9
1912,holding_fee_patents|total,4,100,182,2,25,0,0,1,85,9
1912,total_indians_allotted,791,215,592,445,1545,332,503,200,2348,948
1912,total_indians_under_federal_supervision,1117,429,1114,741,2261,727,849,1397,3046,3460
1912,total_tribal_and_individual_property,28846935.39,729749.11,4121865.05,3691877.83,22100662.36,404159.72,2231693.05,3374196.18,15459811.79,7098434.14
1913,unallotted_indians,326,214,551,318,766,376,0,1280,282,1956
1913,holding_trust_patents,781,112,392,429,1501,327,631,213,2681,734
1913,holding_fee_patents|for_part_of_allotment,5,10,21,0,0,0,3,0,20,0
1913,holding_fee_patents|for_all_of_allotment,0,93,160,2,18,0,3,1,69,381
1913,holding_fee_patents|total,5,103,181,2,18,0,6,1,89,381
1913,total_indians_allotted,786,215,573,431,1519,327,637,214,2770,1115
1913,total_indians_under_federal_supervision,1112,429,1124,749,2285,703,637,1494,3052,3071
1913,total_tribal_and_individual_property,28781546,701072,4035920,3669412,16854857,387075,3268776,3260787,15866273,7054080
1914,unallotted_indians,560,212,545,321,40,390,49,1031,0,614
1914,holding_trust_patents,561,115,390,418,2370,303,560,198,3059,2428
1914,holding_fee_patents|for_part_of_allotment,0,7,0,0,0,0,4,1,20,4
1914,holding_fee_patents|for_all_of_allotment,0,92,175,3,15,0,11,9,70,5
1914,holding_fee_patents|total,0,99,175,3,15,0,15,10,90,9
1914,total_indians_allotted,561,214,565,421,2385,303,575,208,3059,2437
1914,total_indians_under_federal_supervision,1121,426,1110,742,2425,693,624,1239,3059,3051
1914,total_tribal_and_individual_property,28215121,681238,4026528,3608397,15079629,408472,2682821,4289587,16090979,6973872
1915,total_indians_under_federal_supervision,1145,425,1152,759,2468,702,611,1273,3146,3130
1915,total_indians_allotted,596,213,540,423,2348,295,511,202,3133,777
1915,holding_trust_or_restricted_fee_patents,576,111,361,420,2329,295,472,189,3034,769
1915,holding_fee_patents|for_part_of_allotment,0,8,0,0,19,0,4,1,25,4
1915,holding_fee_patents|for_all_of_allotment,20,94,179,3,0,0,35,12,74,4
1915,holding_fee_patents|total,20,102,179,3,19,0,39,13,99,8
1915,unallotted_indians,549,212,612,336,120,407,100,1071,13,2353
1915,total_tribal_and_individual_property,28629564,670894,5108587,9073995,14081776,396114,2751337,4368813,16148531,7883488
1916,total_indians_under_federal_supervision,1152,416,1151,825,2526,698,616,1335,3086,3084
1916,total_indians_allotted,816,212,531,447,2518,284,524,189,3032,688
1916,holding_trust_or_restricted_fee_patents,796,110,346,439,2476,0,485,177,2927,680
1916,holding_fee_patents|for_part_of_allotment,0,8,1,0,0,0,4,1,30,4
1916,holding_fee_patents|for_all_of_allotment,20,94,184,8,42,284,35,11,75,4
1916,holding_fee_patents|total,20,102,185,8,42,284,39,12,105,8
1916,unallotted_indians,336,204,620,378,8,414,92,1146,54,2396
1916,total_tribal_and_individual_property,29618451,662537,5136269,9328057,12653430,372244,2776269,4250215,15950520,9604817
1917,total_indians_under_federal_supervision,1160,437,1197,818,2529,697,603,1359,3000,2900
1917,total_indians_allotted,783,227,518,441,2478,276,476,182,2891,671
1917,holding_trust_or_restricted_fee_patents,759,116,330,437,2423,276,431,169,2771,663
1917,holding_fee_patents|for_part_of_allotment,0,17,1,0,0,0,4,1,40,4
1917,holding_fee_patents|for_all_of_allotment,24,94,187,4,55,0,41,12,80,4
1917,holding_fee_patents|total,24,111,188,4,55,0,45,13,120,8
1917,unallotted_indians,377,210,679,377,51,421,127,1177,109,2229
1917,total_tribal_and_individual_property,28941382,661387,5442950,7147005,14573882,385346,2809048,4506339,14287084,7957847
1918,total_indians_under_federal_supervision,1160,446,1229,822,2566,682,604,1353,3000,2877
1918,total_indians_allotted,783,210,449,431,2486,276,489,176,2885,654
1918,holding_trust_or_restricted_fee_patents,759,114,212,427,2304,276,397,162,2636,606
1918,holding_fee_patents|for_part_of_allotment,0,17,2,0,2,0,4,1,69,4
1918,holding_fee_patents|for_all_of_allotment,24,79,235,4,180,0,88,13,180,44
1918,holding_fee_patents|total,24,96,237,4,182,0,92,14,249,48
1918,unallotted_indians,377,236,780,391,80,406,115,1177,115,2223
1918,total_tribal_and_individual_property,28943558,701065,5575751,7675582,12956087,377098,3086864,4403323,16030338,10146499
1919,total_indians_under_federal_supervision,1154,1158,1167,928,2518,669,617,1321,2933,2930
1919,total_indians_allotted,751,227,420,517,2423,276,465,166,2808,945
1919,holding_trust_or_restricted_fee_patents,652,157,173,513,2158,276,371,152,2454,597
1919,holding_fee_patents|for_part_of_allotment,3,14,4,0,0,0,2,0,62,3
1919,holding_fee_patents|for_all_of_allotment,96,56,243,4,265,0,92,14,292,45
1919,holding_fee_patents|total,99,70,247,4,265,0,94,14,354,48
1919,unallotted_indians,403,931,747,433,95,393,152,1155,125,2285
1919,total_tribal_and_individual_property,27096783,722584,4166017,7056737,12920027,395904,2843895,4398547,16542493,11624157
1920,total_indians_under_federal_supervision,1132,1137,1119,1041,2698,671,652,1257,2917,2919
1920,total_indians_allotted,712,323,397,448,2574,270,459,149,2765,639
1920,holding_trust_or_restricted_fee_patents,571,50,156,421,2238,270,351,133,2338,523
1920,holding_fee_patents|for_part_of_allotment,2,10,4,7,0,0,2,0,68,2
1920,holding_fee_patents|for_all_of_allotment,139,263,237,20,336,0,106,16,359,114
1920,holding_fee_patents|total,141,273,241,27,336,0,108,16,427,116
1920,unallotted_indians,420,814,722,593,124,401,193,1108,152,2280
1920,total_tribal_and_individual_property,29171765,765470,4217834,7222761,12808851,399968,2867173,4483695,18026383,9696362
